"date";"year";"week";"ship_units";"clean_su";"ship_ma";"ship_ma30"
2016-05-09;2016;19;153;153;220.857142857143;181.833333333333
2016-05-10;2016;19;256;256;225.142857142857;183.216666666667
2016-05-11;2016;19;303;303;191.428571428571;185.45
2016-05-12;2016;19;135;135;176.714285714286;188.65
2016-05-13;2016;20;206;206;190.571428571429;189.766666666667
2016-05-16;2016;20;51;51;186.428571428571;189.266666666667
2016-05-17;2016;20;133;133;179.714285714286;191.3
2016-05-18;2016;20;250;250;193.142857142857;191.516666666667
2016-05-19;2016;20;227;227;189.857142857143;191.55
2016-05-20;2016;21;256;256;230;195.483333333333
2016-05-23;2016;21;229;229;242.428571428571;196.533333333333
2016-05-24;2016;21;183;183;234.571428571429;194.966666666667
2016-05-25;2016;21;332;332;217.428571428571;194.883333333333
2016-05-26;2016;21;220;220;207;193.1
2016-05-27;2016;22;195;195;198.428571428571;189.466666666667
2016-05-30;2016;22;107;107;198.571428571429;188.683333333333
2016-05-31;2016;22;183;183;173.857142857143;186.866666666667
2016-06-01;2016;22;169;169;161.857142857143;184.616666666667
2016-06-02;2016;22;184;184;160.428571428571;184.8
2016-06-03;2016;23;159;159;160.857142857143;184.75
2016-06-06;2016;23;136;136;172.285714285714;185.966666666667
2016-06-07;2016;23;185;185;171.714285714286;187.966666666667
2016-06-08;2016;23;110;110;163;186.066666666667
2016-06-09;2016;23;263;263;172.285714285714;180.983333333333
2016-06-10;2016;24;165;165;181;178.15
2016-06-13;2016;24;123;123;177.285714285714;175.733333333333
2016-06-14;2016;24;224;224;182.428571428571;172.816666666667
2016-06-15;2016;24;197;197;172.857142857143;169.816666666667
2016-06-16;2016;24;159;159;164.142857142857;167.183333333333
2016-06-17;2016;25;146;146;192.285714285714;167.55
2016-06-20;2016;25;196;196;178.714285714286;170.55
2016-06-21;2016;25;104;104;180.428571428571;171.516666666667
2016-06-22;2016;25;320;320;175;172.066666666667
2016-06-23;2016;25;129;129;180.285714285714;174.766666666667
2016-06-27;2016;26;209;209;164.571428571429;177.633333333333
2016-06-28;2016;26;121;121;162;180.25
2016-06-29;2016;26;183;183;148.714285714286;180.383333333333
2016-06-30;2016;26;86;86;146.428571428571;181
2016-07-01;2016;27;86;86;134.285714285714;180.133333333333
2016-07-04;2016;27;227;227;147.142857142857;176.883333333333
2016-07-05;2016;27;113;113;147.142857142857;177.216666666667
2016-07-06;2016;27;124;124;171.142857142857;176.9
2016-07-07;2016;27;211;211;191.428571428571;176.183333333333
2016-07-08;2016;28;183;183;176.142857142857;177.75
2016-07-11;2016;28;254;254;197.857142857143;177.083333333333
2016-07-12;2016;28;228;228;215.857142857143;175.566666666667
2016-07-13;2016;28;120;120;223.571428571429;175.716666666667
2016-07-14;2016;28;265;265;224.142857142857;175.3
2016-07-15;2016;29;250;250;208.142857142857;175.016666666667
2016-07-18;2016;29;265;265;202.714285714286;175.983333333333
2016-07-19;2016;29;187;187;204.285714285714;178.133333333333
2016-07-20;2016;29;142;142;181;179.55
2016-07-21;2016;29;190;190;174.714285714286;179.9
2016-07-22;2016;30;131;131;154.285714285714;180.916666666667
2016-07-25;2016;30;102;102;164.142857142857;180.633333333333
2016-07-26;2016;30;206;206;171.571428571429;181.283333333333
2016-07-27;2016;30;122;122;154.571428571429;182.083333333333
2016-07-28;2016;30;256;256;161.571428571429;180.016666666667
2016-07-29;2016;31;194;194;165.428571428571;178.95
2016-07-31;2016;31;71;71;174.571428571429;177.416666666667
2016-08-01;2016;31;180;180;180.285714285714;174.833333333333
2016-08-02;2016;31;129;129;177.142857142857;174.35
2016-08-03;2016;31;270;270;181.571428571429;171.85
2016-08-04;2016;31;162;162;194.857142857143;166.116666666667
2016-08-05;2016;32;234;234;187.142857142857;160.933333333333
2016-08-08;2016;32;225;225;184;159.083333333333
2016-08-09;2016;32;164;164;172.428571428571;160.683333333333
2016-08-10;2016;32;126;126;176.428571428571;161.4
2016-08-11;2016;32;107;107;156.571428571429;162.15
2016-08-12;2016;33;189;189;141;165.4
2016-08-16;2016;33;190;190;148.142857142857;165.216666666667
2016-08-17;2016;33;95;95;148.857142857143;164.3
2016-08-18;2016;33;116;116;161.571428571429;164.4
2016-08-19;2016;34;214;214;152.142857142857;162
2016-08-22;2016;34;131;131;141;160.3
2016-08-23;2016;34;196;196;135.857142857143;158.883333333333
2016-08-24;2016;34;123;123;140;158.216666666667
2016-08-25;2016;34;112;112;137.428571428571;158.583333333333
2016-08-27;2016;35;59;59;151.428571428571;158.033333333333
2016-08-29;2016;35;145;145;144.285714285714;155.333333333333
2016-08-30;2016;35;196;196;158.142857142857;152.5
2016-08-31;2016;35;229;229;171.857142857143;153.116666666667
2016-09-01;2016;35;146;146;176.142857142857;154.05
2016-09-02;2016;36;220;220;181.714285714286;155.433333333333
2016-09-05;2016;36;208;208;182.285714285714;157.133333333333
2016-09-06;2016;36;89;89;164.714285714286;157.25
2016-09-07;2016;36;184;184;152;158.95
2016-09-08;2016;36;200;200;136.142857142857;162.8
2016-09-09;2016;37;106;106;129.285714285714;164.666666666667
2016-09-10;2016;37;57;57;153.857142857143;166.783333333333
2016-09-12;2016;37;109;109;147.285714285714;166.95
2016-09-13;2016;37;160;160;132.428571428571;166.816666666667
2016-09-14;2016;37;261;261;144.857142857143;169.266666666667
2016-09-15;2016;37;138;138;170;171.5
2016-09-16;2016;38;96;96;170.571428571429;174.7
2016-09-19;2016;38;193;193;176.714285714286;175.35
2016-09-20;2016;38;233;233;167.285714285714;173.883333333333
2016-09-21;2016;38;113;113;174.857142857143;173.366666666667
2016-09-22;2016;38;203;203;189.142857142857;173.583333333333
2016-09-23;2016;39;195;195;196.714285714286;172.15
2016-09-26;2016;39;191;191;191.428571428571;172.5
2016-09-27;2016;39;196;196;214.714285714286;176.383333333333
2016-09-28;2016;39;246;246;194.428571428571;178.216666666667
2016-09-29;2016;39;196;196;202.285714285714;179.216666666667
2016-09-30;2016;40;276;276;193.857142857143;181.816666666667
2016-10-02;2016;40;61;61;190.571428571429;183.383333333333
2016-10-03;2016;40;250;250;187.285714285714;185.1
2016-10-04;2016;40;132;132;181.714285714286;184.383333333333
2016-10-05;2016;40;173;173;168;182.866666666667
2016-10-06;2016;40;223;223;182.714285714286;185.183333333333
2016-10-07;2016;41;157;157;177.714285714286;190.3
2016-10-10;2016;41;180;180;177;192.133333333333
2016-10-11;2016;41;164;164;179.571428571429;191.433333333333
2016-10-13;2016;41;215;215;192.714285714286;189.766666666667
2016-10-14;2016;42;127;127;195.857142857143;186.016666666667
2016-10-17;2016;42;191;191;196.857142857143;185.733333333333
2016-10-18;2016;42;315;315;192.285714285714;184.683333333333
2016-10-19;2016;42;179;179;179.857142857143;181.266666666667
2016-10-20;2016;42;187;187;196.571428571429;177.4
2016-10-21;2016;43;132;132;188.428571428571;171.916666666667
2016-10-24;2016;43;128;128;168.285714285714;170.916666666667
2016-10-25;2016;43;244;244;171.142857142857;170.766666666667
2016-10-26;2016;43;134;134;201.142857142857;168.266666666667
2016-10-27;2016;43;174;174;202.142857142857;169.15
2016-10-28;2016;44;199;199;207.428571428571;169.4
2016-11-02;2016;44;397;397;179.857142857143;168.05
2016-11-03;2016;44;139;139;178.142857142857;166.466666666667
2016-11-04;2016;45;165;165;188.571428571429;164.65
2016-11-06;2016;45;51;51;171.142857142857;161.583333333333
2016-11-07;2016;45;122;122;137.285714285714;160.416666666667
2016-11-08;2016;45;247;247;124.571428571429;161.7
2016-11-09;2016;45;77;77;114.285714285714;158.55
2016-11-10;2016;45;160;160;133.285714285714;155.716666666667
2016-11-11;2016;46;50;50;132.714285714286;154.25
2016-11-13;2016;46;93;93;113.714285714286;152.883333333333
2016-11-14;2016;46;184;184;137.571428571429;153.983333333333
2016-11-15;2016;46;118;118;138.571428571429;155.65
2016-11-16;2016;46;114;114;150.285714285714;157.533333333333
2016-11-17;2016;46;244;244;152.714285714286;157.633333333333
2016-11-18;2016;47;167;167;144.285714285714;155.05
2016-11-21;2016;47;132;132;137.428571428571;149.666666666667
2016-11-22;2016;47;110;110;150;147.4
2016-11-23;2016;47;125;125;142.714285714286;148.916666666667
2016-11-24;2016;47;70;70;136.571428571429;151.55
2016-11-25;2016;48;202;202;146.285714285714;155.333333333333
2016-11-28;2016;48;193;193;141.714285714286;154.5
2016-11-29;2016;48;124;124;146.571428571429;154.35
2016-11-30;2016;48;200;200;160.428571428571;155.833333333333
2016-12-01;2016;48;78;78;175.142857142857;157.066666666667
2016-12-02;2016;49;159;159;174.142857142857;157.716666666667
2016-12-05;2016;49;167;167;174.714285714286;153.533333333333
2016-12-06;2016;49;305;305;159;148.666666666667
2016-12-07;2016;49;186;186;174;145.966666666667
2016-12-09;2016;50;128;128;182.285714285714;143.1
2016-12-12;2016;50;90;90;183.857142857143;140.5
2016-12-13;2016;50;183;183;168.285714285714;140.05
2016-12-14;2016;50;217;217;170.857142857143;140.95
2016-12-15;2016;50;178;178;169;141.716666666667
2016-12-16;2016;51;196;196;184.714285714286;143.816666666667
2016-12-19;2016;51;204;204;176.571428571429;145.4
2016-12-20;2016;51;115;115;168.142857142857;143.816666666667
2016-12-21;2016;51;200;200;146.142857142857;143.033333333333
